source;hyperlink;locality;postcode;house_is;property_subtype;price;sale;rooms_number;area;kitchen_has;furnished;open_fire;terrace;terrace_area;garden;garden_area;land_surface;land_plot_surface;facades_number;swimming_pool_has
7;https://www.immoweb.be/en/classified/house/for-sale/berlare/9290/8958218;berlare;9290;TRUE;house;499000;None;3;335;TRUE;FALSE;FALSE;FALSE;None;FALSE;None;None;460;3;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/vlezenbeek/1602/8958208;vlezenbeek;1602;TRUE;house;335000;None;4;207;TRUE;FALSE;FALSE;FALSE;None;TRUE;None;None;920;None;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/sint-pieters-leeuw/1600/8958207;sint-pieters-leeuw;1600;TRUE;house;345000;None;4;205;TRUE;FALSE;FALSE;TRUE;None;TRUE;None;None;165;None;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/heikruis/1670/8958206;heikruis;1670;TRUE;house;297000;None;3;183;TRUE;FALSE;FALSE;FALSE;None;TRUE;None;None;570;None;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/sint-michiels/8200/8958203;sint-michiels;8200;TRUE;house;335000;None;4;190;TRUE;FALSE;FALSE;FALSE;None;TRUE;None;None;173;None;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/blankenberge/8370/8958202;blankenberge;8370;TRUE;house;190000;None;2;None;FALSE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;None;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/uitkerke/8370/8958201;uitkerke;8370;TRUE;house;275000;None;3;150;FALSE;FALSE;FALSE;TRUE;None;TRUE;None;None;113;None;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/de-haan-(zuienkerke)/8420/8958196;de-haan-(zuienkerke);8420;TRUE;house;449000;None;3;105;TRUE;FALSE;FALSE;TRUE;None;TRUE;None;None;420;3;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/brugge/8000/8958192;brugge;8000;TRUE;house;289000;None;2;None;FALSE;FALSE;FALSE;FALSE;None;TRUE;None;None;102;None;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/overijse/3090/8958187;overijse;3090;TRUE;house;600000;None;4;215;TRUE;FALSE;FALSE;TRUE;30;TRUE;367;None;367;4;FALSE
7;https://www.immoweb.be/en/classified/town-house/for-sale/merksem/2170/8958181;merksem;2170;TRUE;town-house;325000;None;3;162;TRUE;FALSE;FALSE;FALSE;None;TRUE;None;None;180;2;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/lommel/3920/8940082;lommel;3920;TRUE;house;345000;None;4;245;TRUE;FALSE;FALSE;TRUE;27;TRUE;None;None;888;4;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/oostham/3945/8958175;oostham;3945;TRUE;house;320000;None;4;None;FALSE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;None;FALSE
7;https://www.immoweb.be/en/classified/villa/for-sale/meise/1860/8958165;meise;1860;TRUE;villa;559000;None;4;250;TRUE;FALSE;FALSE;TRUE;30;TRUE;850;None;1000;4;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/wilrijk/2610/8958158;wilrijk;2610;TRUE;house;335000;None;3;162;TRUE;FALSE;FALSE;FALSE;None;FALSE;None;None;190;2;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/menen/8930/8830145;menen;8930;TRUE;house;160000;None;4;None;FALSE;FALSE;FALSE;TRUE;None;FALSE;None;None;420;2;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/8889016;ixelles;1050;TRUE;house;695777;None;7;350;TRUE;FALSE;FALSE;FALSE;None;FALSE;None;None;250;2;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/8776591;ixelles;1050;TRUE;house;525777;None;4;250;FALSE;FALSE;FALSE;FALSE;None;FALSE;None;None;70;2;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/vilvoorde/1800/8958155;vilvoorde;1800;TRUE;house;369000;None;5;138;TRUE;FALSE;FALSE;TRUE;None;TRUE;53;None;None;3;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/sleidinge/9940/8958147;sleidinge;9940;TRUE;house;305000;None;3;120;FALSE;FALSE;FALSE;FALSE;None;FALSE;None;None;274;2;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/gent/9000/8947530;gent;9000;TRUE;house;198000;None;2;85;TRUE;FALSE;FALSE;FALSE;None;FALSE;None;None;35;2;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/ledegem/8880/8958146;ledegem;8880;TRUE;house;288000;None;3;180;TRUE;FALSE;FALSE;TRUE;None;TRUE;None;None;231;3;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/ledegem/8880/8958145;ledegem;8880;TRUE;house;288000;None;3;180;TRUE;FALSE;FALSE;TRUE;None;TRUE;None;None;231;3;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/8958136;ixelles;1050;TRUE;house;695000;None;8;300;FALSE;FALSE;FALSE;TRUE;None;FALSE;None;None;250;2;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/8958197;ixelles;1050;FALSE;apartment;265000;None;2;72;FALSE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;2;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/assebroek/8310/8958193;assebroek;8310;FALSE;apartment;142500;None;1;50;TRUE;FALSE;FALSE;FALSE;None;TRUE;None;None;None;None;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/merelbeke/9820/8958191;merelbeke;9820;FALSE;apartment;249000;None;2;85;TRUE;FALSE;FALSE;TRUE;None;TRUE;None;None;None;None;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/reet/2840/8958189;reet;2840;FALSE;apartment;185000;None;2;80;FALSE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;None;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/8958188;oudenaarde;9700;FALSE;apartment;254000;None;2;86;FALSE;FALSE;FALSE;TRUE;None;TRUE;None;None;None;2;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/8958184;oostende;8400;FALSE;apartment;465000;None;3;132;TRUE;FALSE;TRUE;TRUE;None;FALSE;None;None;None;None;FALSE
7;https://www.immoweb.be/en/classified/apartment/for-sale/olen/2250/8958183;olen;2250;FALSE;apartment;210000;None;2;84;TRUE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;2;FALSE
