Unnamed: 0;hyperlink;locality;postcode;house_is;property_subtype;price;sale;rooms_number;area;kitchen_has;furnished;open_fire;terrace;terrace_area;garden;garden_area;land_surface;land_plot_surface;facades_number;swimming_pool_has;duplicates;null
7;https://www.immoweb.be/en/classified/house/for-sale/charleroi-couillet/6010/8945244;charleroi-couillet;6010;Yes;house;159000;None;3;250;No;No;No;Yes;None;Yes;500;None;500;3;No;0;4
7;https://www.immoweb.be/en/classified/house/for-sale/waarloos/2550/8945238;waarloos;2550;Yes;house;315000;None;3;110;Yes;No;No;Yes;12;Yes;250;None;516;3;No;0;3
7;https://www.immoweb.be/en/classified/country-cottage/for-sale/middelkerke/8434/8945235;middelkerke;8434;Yes;country-cottage;245000;None;3;83;Yes;No;No;Yes;None;No;None;None;72;None;No;0;6
7;https://www.immoweb.be/en/classified/house/for-sale/avelgem/8580/8780632;avelgem;8580;Yes;house;102000;None;2;None;Yes;No;No;Yes;None;Yes;None;None;254;3;No;0;6
7;https://www.immoweb.be/en/classified/house/for-sale/avelgem/8580/8812120;avelgem;8580;Yes;house;168000;None;3;None;Yes;No;No;Yes;None;Yes;None;None;787;4;No;0;6
7;https://www.immoweb.be/en/classified/house/for-sale/hulshout/2235/8945228;hulshout;2235;Yes;house;374000;None;3;185;Yes;No;No;Yes;None;Yes;250;None;581;4;No;0;4
7;https://www.immoweb.be/en/classified/house/for-sale/colfontaine/7340/8945177;colfontaine;7340;Yes;house;110000;None;2;None;Yes;No;No;No;None;No;None;None;117;2;No;0;6
7;https://www.immoweb.be/en/classified/house/for-sale/veurne/8630/8945180;veurne;8630;Yes;house;269000;None;3;None;Yes;No;No;Yes;30;No;None;None;164;2;No;0;5
7;https://www.immoweb.be/en/classified/house/for-sale/mortsel/2640/8945172;mortsel;2640;Yes;house;435000;None;3;218;Yes;No;No;Yes;None;Yes;120;None;220;2;No;0;4
7;https://www.immoweb.be/en/classified/town-house/for-sale/aartselaar/2630/8945127;aartselaar;2630;Yes;town-house;349000;None;4;166;Yes;No;No;Yes;21;Yes;155;None;278;1;No;0;3
7;https://www.immoweb.be/en/classified/duplex/for-sale/auderghem/1160/8936367;auderghem;1160;No;duplex;450000;None;3;132;Yes;No;No;Yes;None;No;None;None;None;2;No;0;6
7;https://www.immoweb.be/en/classified/apartment/for-sale/huy/4500/8937574;huy;4500;No;apartment;169000;None;2;95;Yes;No;No;Yes;20;No;None;None;None;2;No;0;5
7;https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/8937572;gent;9000;No;apartment;239000;None;1;60;Yes;No;Yes;Yes;3;No;None;None;None;2;No;0;5
7;https://www.immoweb.be/en/classified/apartment/for-sale/wommelgem/2160/8937559;wommelgem;2160;No;apartment;264000;None;1;85;Yes;No;No;Yes;None;Yes;None;None;None;None;No;0;7
7;https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/8937564;gent;9000;No;apartment;250000;None;2;77;Yes;No;No;Yes;14;No;None;None;None;None;No;0;6
7;https://www.immoweb.be/en/classified/penthouse/for-sale/lier/2500/8937555;lier;2500;No;penthouse;398000;None;2;121;Yes;No;No;Yes;18;No;None;None;None;3;No;0;5
7;https://www.immoweb.be/en/classified/apartment/for-sale/vilvoorde/1800/8937553;vilvoorde;1800;No;apartment;267500;None;2;104;Yes;No;No;Yes;None;No;None;None;None;3;No;0;6
7;https://www.immoweb.be/en/classified/apartment/for-sale/embourg/4053/8937544;embourg;4053;No;apartment;432000;None;3;146;Yes;No;No;Yes;51;No;None;None;None;None;No;0;6
7;https://www.immoweb.be/en/classified/penthouse/for-sale/londerzeel/1840/8937536;londerzeel;1840;No;penthouse;650000;None;3;146;Yes;No;No;Yes;None;No;None;None;None;3;Yes;0;6
7;https://www.immoweb.be/en/classified/ground-floor/for-sale/embourg/4053/8937534;embourg;4053;No;ground-floor;316000;None;2;110;Yes;No;No;Yes;25;Yes;50;None;None;4;No;0;4
7;https://www.immoweb.be/en/classified/apartment/for-sale/ottignies-louvain-la-neuve-louvain-la-neuve/1348/8937512;ottignies-louvain-la-neuve-louvain-la-neuve;1348;No;apartment;559430;None;3;161;No;No;No;Yes;None;No;None;None;None;4;No;0;6
7;https://www.immoweb.be/en/classified/apartment/for-sale/la-louviere/7100/8937486;la-louviere;7100;No;apartment;100000;None;1;None;No;No;No;No;None;No;None;None;None;None;No;0;8
7;https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/8935291;deurne;2100;No;apartment;179500;None;2;95;Yes;No;No;Yes;10;No;None;None;None;None;No;0;6
7;https://www.immoweb.be/en/classified/apartment/for-sale/laeken/1020/8861903;laeken;1020;No;apartment;360000;None;2;125;Yes;No;No;No;None;No;None;None;None;None;No;0;7
7;https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/8937464;uccle;1180;No;apartment;2250000;None;4;280;No;No;No;Yes;34;No;None;None;None;None;No;0;6
7;https://www.immoweb.be/en/classified/loft/for-sale/kuurne/8520/8937463;kuurne;8520;No;loft;240000;None;2;None;Yes;No;No;Yes;23;No;None;None;None;2;No;0;6
7;https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/8937458;ixelles;1050;No;apartment;950000;None;3;239;Yes;No;No;Yes;None;No;None;None;None;3;No;0;6
7;https://www.immoweb.be/en/classified/apartment/for-sale/marneffe/4210/8937454;marneffe;4210;No;apartment;299000;None;3;155;Yes;No;No;No;None;No;None;None;None;None;No;0;7
7;https://www.immoweb.be/en/classified/penthouse/for-sale/uccle/1180/8937446;uccle;1180;No;penthouse;975000;None;4;300;No;No;Yes;Yes;19;No;None;None;None;4;Yes;0;5
7;https://www.immoweb.be/en/classified/apartment/for-sale/louvain-la-neuve/1348/8937445;louvain-la-neuve;1348;No;apartment;511932;None;2;127;Yes;No;No;Yes;29;No;None;None;None;4;No;0;5
7;https://www.immoweb.be/en/classified/apartment/for-sale/louvain-la-neuve/1348/8937444;louvain-la-neuve;1348;No;apartment;591956;None;3;152;No;No;No;Yes;6;No;None;None;None;4;No;0;5
7;https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/7946041;evere;1140;No;apartment;275000;None;3;115;No;No;No;Yes;None;No;None;None;None;3;No;0;6
7;https://www.immoweb.be/en/classified/ground-floor/for-sale/oostende/8400/8937433;oostende;8400;No;ground-floor;205000;None;2;111;Yes;No;No;Yes;None;No;None;None;None;None;No;0;7
